Faction,Leader,Headquarters,Region,Ideology,Military_Strength,Primary_Ally,Primary_Enemy,Game_Debut
Brotherhood of Steel,Elder Roger Maxson,Lost Hills Bunker,Western USA,Hoard and preserve pre-war technology,High,None,Raiders and Super Mutants,Fallout 1
Enclave,President Richardson,Poseidon Oil Rig,National network,Restore pure-human pre-war US government,Very High,None,All wastelanders,Fallout 2
New California Republic,President Tandi,Shady Sands,California and Mojave,Democratic expansion and rule of law,Very High,Followers of the Apocalypse,Caesar's Legion,Fallout 2
Followers of the Apocalypse,Doctor Arcade,Old Mormon Fort,Mojave Wasteland,Free education medicine and knowledge,Low,NCR loosely,Caesar's Legion,Fallout 1
Caesar's Legion,Caesar (Edward Sallow),Fortification Hill,Southwest USA,Fascist Roman-inspired slave empire,Very High,Various raider tribes,NCR and Brotherhood,Fallout New Vegas
Mr. House,Mr. Robert House,Lucky 38 Casino,New Vegas Strip,Independent Vegas - technocratic control,Medium,Securitron army,NCR and Legion equally,Fallout New Vegas
The Institute,Father (Shaun),The Institute underground,Commonwealth MA,Scientific progress through human experimentation,Medium,None,Railroad and Brotherhood,Fallout 4
The Railroad,Desdemona,Old North Church,Boston Commonwealth,Liberation and protection of synthetic humans,Low,None,The Institute,Fallout 4
The Minutemen,General (Sole Survivor),The Castle,Commonwealth MA,Protect civilians rebuild communities,Medium,Railroad conditionally,Raiders and Institute,Fallout 4
Vault-Tec Corporation,Board of Directors,Corporate HQ (destroyed),National,Corporate profit through social experimentation,N/A - pre-war,US Government,None,Fallout 1
The Gunners,Overseer Baker,Mass Pike Interchange,Commonwealth MA,Mercenary - highest bidder wins,Medium,None,Minutemen and settlements,Fallout 4
Children of Atom,Mother Isolde,The Nucleus,Far Harbor ME,Worship of radiation as divine gift of Atom,Low,None,Far Harbor settlers,Fallout 4 DLC
Nuka-Cola Corporation,John-Caleb Bradberton,Nuka-World,National,Commerce and entertainment empire,N/A - pre-war,US Government,None,Fallout 4 DLC
Great Khans,Papa Khan,Red Rock Canyon,Mojave Wasteland,Tribal survival and raider heritage,Low,Caesar's Legion,NCR and Fiends,Fallout New Vegas
Atom Cats,Rowdy,Atom Cats Garage,Commonwealth MA,Power armor customisation and street culture,Low,None,Raiders,Fallout 4
